"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1";"Socket_Strip_Straight_2x02";1;"ARM_SWD_SMALL";;;
2;"U5";"BME280";1;"BME280";;;
3;"U4,U1";"B3B-PH-SM4-TB_IROVER_CONNECTOR";2;"iRover";;;
4;"U3";"nRF52832-SMD";1;"nRF52832";;;
5;"U2";"TPS79133";1;"TPS79133";;;
6;"R10,R9,R1";"0603_HandSoldering";3;"10K";;;
7;"R8,R7";"0603_HandSoldering";2;"100K";;;
8;"R6,R5,R2";"0603_HandSoldering";3;"100R";;;
9;"R4,R3";"0603_HandSoldering";2;"1K";;;
10;"Q2,Q1";"SOT-23";2;"BC847C";;;
11;"P1";"DCP-USBCB-SC";1;"USB_OTG";;;
12;"JP4,JP3,JP2,JP1";"Socket_Strip_Straight_1x02";4;"JUMPER";;;
13;"D5,D4,D1";"LED_0603_HandSoldering";3;"LED";;;
14;"D3,D2";"SOD-323";2;"1N4148";;;
15;"C12,C11,C10,C9,C7,C5,C4,C2,C1";"0603_HandSoldering";9;"100nF";;;
16;"C6";"0603_HandSoldering";1;"10nF";;;
17;"G***";"OSHWLOGO1.5IN";1;"LOGO";;;
18;"G***";"OSHWLOGO0.3IN";1;"LOGO";;;
19;"C3,C8";"0805_HandSoldering";2;"10uF";;;
